Isolates,Phage,EOP
AH17DO11,EnC07,0.79
AH17DO11,EnC15,0
AH17DO11,EnA02,0.32
AH18JO15,EnC07,0
AH18JO15,EnC15,0.48
AH18JO15,EnA02,0.75
AH19BO61,EnC07,0
AH19BO61,EnC15,0.16
AH19BO61,EnA02,0.22
AH19KO20,EnC07,0
AH19KO20,EnC15,0
AH19KO20,EnA02,0.23
AH20F054,EnC07,0
AH20F054,EnC15,0
AH20F054,EnA02,0.4
AP016,EnC07,1.36
AP016,EnC15,0.33
AP016,EnA02,0
AP024,EnC07,1.23
AP024,EnC15,0.59
AP024,EnA02,0.1
AP025,EnC07,0.94
AP025,EnC15,0.81
AP025,EnA02,0.18
AP057,EnC07,1
AP057,EnC15,0.55
AP057,EnA02,0.83
CPO006,EnC07,0.19
CPO006,EnC15,0.47
CPO006,EnA02,0
CPO017,EnC07,1.1
CPO017,EnC15,0.69
CPO017,EnA02,0.33
CPO020,EnC07,0
CPO020,EnC15,0.95
CPO020,EnA02,0.8
CPO053,EnC07,0
CPO053,EnC15,0.05
CPO053,EnA02,0.34
CPO066,EnC07,0.32
CPO066,EnC15,0.39
CPO066,EnA02,0.21
CPO093,EnC07,0
CPO093,EnC15,1
CPO093,EnA02,0
CPO091,EnC07,1.11
CPO091,EnC15,0.45
CPO091,EnA02,0.23
CPO123,EnC07,0
CPO123,EnC15,0
CPO123,EnA02,0.2
CPO239,EnC07,0.3
CPO239,EnC15,0
CPO239,EnA02,0.09
CPO268,EnC07,0.52
CPO268,EnC15,0.61
CPO268,EnA02,0.1
CPO272,EnC07,0.68
CPO272,EnC15,0
CPO272,EnA02,0
CPO299,EnC07,0
CPO299,EnC15,0.6
CPO299,EnA02,0
CPO312,EnC07,1.3
CPO312,EnC15,0.62
CPO312,EnA02,0
