Mice,Phage,max,min,mean,median,sd
Invitro,EnA02,40000000,16700000,28350000,28350000,16475588.001646558
Invitro,EnC07,31300000,23800000,27550000,27550000,5303300.858899106
Invitro,EnC15,5000000,2670000,3835000,3835000,1647558.8001646558
M1,EnA02,3800000,375000,1748295.4545454546,1409090.9090909092,1489995.7649190095
M1,EnC07,1500000,40000,533863.6363636364,297727.2727272727,685949.2527953277
M1,EnC15,9090909.090909092,5000,3085227.272727273,1622500,4256374.388359687
M2,EnA02,333333333.3333334,36363.63636363636,85492424.24242425,4300000,165267111.0879179
M2,EnC07,25000000,9090.90909090909,8509272.727272727,4514000,11780916.450715233
M2,EnC15,150000000,90909.09090909091,43572727.27272727,12100000,71837126.00164562
M3,EnA02,294117647.0588235,36363636.36363637,203175876.41117054,241111111.1111111,115019524.99264233
M3,EnC07,111111111.11111112,20000000,49221628.04515746,32887700.534759358,41800997.976058416
M3,EnC15,1111111111.1111112,4545454.545454546,313472964.9435532,69117647.05882353,532857964.35123056
M4,EnA02,75000000,3846153.846153846,36836538.461538464,34250000,37212545.537290126
M4,EnC07,14000000,384615.3846153846,4096153.846153846,1000000,6612085.492203879
M4,EnC15,22500000,2307692.3076923075,11014423.076923076,9625000,8502311.076351726
M5,EnA02,411764705.8823529,18000000,128296791.44385025,41711229.94652407,189359229.2907781
M5,EnC07,36363636.36363637,80000,16757967.914438503,15294117.647058822,15396030.026654862
M5,EnC15,54545454.54545455,80000,18215187.1657754,9117647.05882353,25559118.03066038
M6,EnA02,170000000,220000,43438333.333333336,1766666.6666666667,84383603.52843699
M6,EnC07,2500000,100000,766666.6666666666,233333.33333333334,1157583.6902790226
M6,EnC15,2000000,200000,783333.3333333334,466666.66666666674,836881.3358955799
