strains,Nando,Taquito,Cocktail.V1
AH17D011,2,2,2
AH18J015,2,0,2
AH19B061,2,0,2
AH19K020,0,0,2
AH20F054,2,2,2
APO16,0,0,2
APO23,0,2,0
APO24,2,0,2
APO25,2,0,2
APO56,2,2,0
APO57,2,2,2
CPO006,2,2,2
CPO017,2,2,2
CPO020,2,0,2
CPO053,0,2,2
CPO066,2,2,2
CPO081,0,0,0
CPO091,2,0,2
CPO093,2,0,2
CPO123,0,2,2
CPO165,0,-1,2
CPO166,0,2,2
CPO177,0,2,0
CPO179,0,0,0
CPO239,0,0,2
CPO244,2,2,0
CPO268,2,2,2
CPO272,0,0,2
CPO287,0,0,0
CPO299,0,0,2
CPO312,2,2,2
CPO351,2,2,2
CPO353,0,2,2
CPO390,2,2,0
CPO391,2,2,0
CPO448,-1,2,0
2= complete lysis
0= no lysis 
-1 = host of isolation
