isolates,phage,condition,varients,phage_score
AH17D011,EnC07,An_EnC07,Ancestor,0.719156415
AH18J015,EnC07,An_EnC07,Ancestor,0.035247093
AH19B061,EnC07,An_EnC07,Ancestor,0.052330023
AH19K020,EnC07,An_EnC07,Ancestor,0.049127803
AH20F054,EnC07,An_EnC07,Ancestor,0.048441734
APO16,EnC07,An_EnC07,Ancestor,0.860148148
APO23,EnC07,An_EnC07,Ancestor,0.041563055
APO24,EnC07,An_EnC07,Ancestor,0.911777778
APO25,EnC07,An_EnC07,Ancestor,0.905259259
APO56,EnC07,An_EnC07,Ancestor,0.021563342
APO57,EnC07,An_EnC07,Ancestor,0.779962963
CPO006,EnC07,An_EnC07,Ancestor,0.235555556
CPO017,EnC07,An_EnC07,Ancestor,0.754836465
CPO020,EnC07,An_EnC07,Ancestor,-0.005411255
CPO053,EnC07,An_EnC07,Ancestor,0.013718412
CPO066,EnC07,An_EnC07,Ancestor,-0.227944469
CPO081,EnC07,An_EnC07,Ancestor,0.030913012
CPO091,EnC07,An_EnC07,Ancestor,0.742170378
CPO093,EnC07,An_EnC07,Ancestor,0.02320442
CPO123,EnC07,An_EnC07,Ancestor,0.003245582
CPO165,EnC07,An_EnC07,Ancestor,0.007809727
CPO166,EnC07,An_EnC07,Ancestor,0.001409443
CPO177,EnC07,An_EnC07,Ancestor,0.005557761
CPO179,EnC07,An_EnC07,Ancestor,-0.33955774
CPO239,EnC07,An_EnC07,Ancestor,-0.1792669
CPO244,EnC07,An_EnC07,Ancestor,0.00509832
CPO268,EnC07,An_EnC07,Ancestor,-0.3205066
CPO272,EnC07,An_EnC07,Ancestor,0.48549186
CPO287,EnC07,An_EnC07,Ancestor,-0.0062615
CPO299,EnC07,An_EnC07,Ancestor,0.00511322
CPO312,EnC07,An_EnC07,Ancestor,0.48428158
CPO351,EnC07,An_EnC07,Ancestor,0.02333333
CPO353,EnC07,An_EnC07,Ancestor,0.02673993
CPO390,EnC07,An_EnC07,Ancestor,0.00186289
CPO391,EnC07,An_EnC07,Ancestor,0.00939986
CPO448,EnC07,An_EnC07,Ancestor,0.01354784
AH17D011,EnC15,An_EnC15,Ancestor,6.5189e-4
AH18J015,EnC15,An_EnC15,Ancestor,0.637141794
AH19B061,EnC15,An_EnC15,Ancestor,0.183964031
AH19K020,EnC15,An_EnC15,Ancestor,-0.008
AH20F054,EnC15,An_EnC15,Ancestor,0.02732049
APO16,EnC15,An_EnC15,Ancestor,0.413910355
APO23,EnC15,An_EnC15,Ancestor,-0.023026316
APO24,EnC15,An_EnC15,Ancestor,-0.062336778
APO25,EnC15,An_EnC15,Ancestor,0.65061598
APO56,EnC15,An_EnC15,Ancestor,0.034005979
APO57,EnC15,An_EnC15,Ancestor,0.726227159
CPO006,EnC15,An_EnC15,Ancestor,0.62159292
CPO017,EnC15,An_EnC15,Ancestor,6.5189e-4
CPO020,EnC15,An_EnC15,Ancestor,0.63714179
CPO053,EnC15,An_EnC15,Ancestor,0.18396403
CPO066,EnC15,An_EnC15,Ancestor,-0.008
CPO081,EnC15,An_EnC15,Ancestor,0.02732049
CPO091,EnC15,An_EnC15,Ancestor,0.41391036
CPO093,EnC15,An_EnC15,Ancestor,-0.0230263
CPO123,EnC15,An_EnC15,Ancestor,-0.0623368
CPO165,EnC15,An_EnC15,Ancestor,0.65061598
CPO166,EnC15,An_EnC15,Ancestor,0.03400598
CPO177,EnC15,An_EnC15,Ancestor,0.72622716
CPO179,EnC15,An_EnC15,Ancestor,0.62159292
CPO239,EnC15,An_EnC15,Ancestor,0.11533052
CPO244,EnC15,An_EnC15,Ancestor,0.004627844
CPO268,EnC15,An_EnC15,Ancestor,0.572988715
CPO272,EnC15,An_EnC15,Ancestor,0.054667163
CPO287,EnC15,An_EnC15,Ancestor,0.025761974
CPO299,EnC15,An_EnC15,Ancestor,0.583394294
CPO312,EnC15,An_EnC15,Ancestor,0.536524823
CPO351,EnC15,An_EnC15,Ancestor,0.06546951
CPO353,EnC15,An_EnC15,Ancestor,0.298984035
CPO390,EnC15,An_EnC15,Ancestor,0.020610968
CPO391,EnC15,An_EnC15,Ancestor,0.021407837
CPO448,EnC15,An_EnC15,Ancestor,0.009597638
AH17D011,EnA02,An_EnA02,Ancestor,0.841544763
AH17D011,EnA02,An_EnA02,Ancestor,0.848039789
AH18J015,EnA02,An_EnA02,Ancestor,0.870755792
AH18J015,EnA02,An_EnA02,Ancestor,0.83285226
AH19B061,EnA02,An_EnA02,Ancestor,0.232586069
AH19B061,EnA02,An_EnA02,Ancestor,0.231385108
AH19K020,EnA02,An_EnA02,Ancestor,0.314232902
AH19K020,EnA02,An_EnA02,Ancestor,0.198890943
AH20F054,EnA02,An_EnA02,Ancestor,0.488090876
AH20F054,EnA02,An_EnA02,Ancestor,0.611945768
APO16,EnA02,An_EnA02,Ancestor,0.100858369
APO16,EnA02,An_EnA02,Ancestor,0.114449213
APO23,EnA02,An_EnA02,Ancestor,-0.011731248
APO23,EnA02,An_EnA02,Ancestor,-0.009242801
APO24,EnA02,An_EnA02,Ancestor,0.460473588
APO24,EnA02,An_EnA02,Ancestor,0.35992714
APO25,EnA02,An_EnA02,Ancestor,0.139623955
APO25,EnA02,An_EnA02,Ancestor,0.114206128
APO56,EnA02,An_EnA02,Ancestor,0.007542676
APO56,EnA02,An_EnA02,Ancestor,0.023818976
APO57,EnA02,An_EnA02,Ancestor,0.915300146
APO57,EnA02,An_EnA02,Ancestor,0.916727672
CPO006,EnA02,An_EnA02,Ancestor,0.908271787
CPO006,EnA02,An_EnA02,Ancestor,0.529542097
