isolates,combination,phage_score,Lytsis_level,Growth inhibition 
AH18H032,Entelli-01,0.794651385,Hazy,Yes
CPO009,Entelli-01,0.005575266,Hazy,No
CPO051,Entelli-01,0.791973868,Complete,Yes
CPO052,Entelli-01,0.696511628,Complete,Yes
CPO066,Entelli-01,0.621752398,Hazy,Yes
CPO160,Entelli-01,0.542228212,Hazy,Yes
CPO165,Entelli-01,0.547584321,Hazy,Yes
CPO287,Entelli-01,0.062815222,Hazy,No
CPO335,Entelli-01,0.718702461,Hazy,Yes
CPO448,Entelli-01,0.793153423,Hazy,Yes
CPO337,Entelli-01,0.739938891,Complete,Yes
CPO338,Entelli-01,0.396917148,Hazy,Yes
CPO344,Entelli-01,0.602725968,Complete,Yes
CPO351,Entelli-01,0.780742227,Hazy,Yes
CPO353,Entelli-01,0.526350711,Hazy,Yes
CPO360,Entelli-01,0.879621072,Complete,Yes
CPO361,Entelli-01,0.879621072,Hazy,Yes
CPO362,Entelli-01,0.72115293,Hazy,Yes
CPO365,Entelli-01,0.898145506,Hazy,Yes
CPO367,Entelli-01,0.808148505,Hazy,Yes
AH21E036,Entelli-01,0.012544803,Hazy,No
AH21G041,Entelli-01,0.15146147,Hazy,No
CPO123,Entelli-01,0.435553426,Hazy,Yes
CPO129,Entelli-01,0.423485899,Complete,Yes
CPO157,Entelli-01,0.680049383,Complete,Yes
CPO158,Entelli-01,0.73535109,Hazy,Yes
CPO179,Entelli-01,0.66572717,Hazy,Yes
CPO225,Entelli-01,0.375174988,Hazy,Yes
CPO234,Entelli-01,-0.012801576,Hazy,No
CPO272,Entelli-01,0.841038697,Hazy,Yes
CPO388,Entelli-01,0.162962963,Hazy,No
CPO390,Entelli-01,0.713626723,Complete,Yes
CPO391,Entelli-01,0.819937533,Complete,Yes
CPO436,Entelli-01,0.85890411,Hazy,Yes
CPO002,Entelli-01,0.860990009,Complete,Yes
CPO022,Entelli-01,0.504901961,Complete,Yes
CPO044,Entelli-01,0.819220502,Hazy,Yes
CPO049,Entelli-01,0.844868173,Hazy,Yes
CPO050,Entelli-01,0.858565361,Hazy,Yes
CPO053,Entelli-01,0.794995188,Hazy,Yes
CPO067,Entelli-01,0.014873575,Hazy,No
CPO068,Entelli-01,0.872022301,Complete,Yes
CPO081,Entelli-01,0.231619414,Hazy,No
AH21A006,Entelli-01,0.714191107,Complete,Yes
AH21C074,Entelli-01,0.877185399,Complete,Yes
AH21G016,Entelli-01,-0.021505376,Hazy,No
