Mice,Phage,Cocktail ,Sample,PFU
M7,øEnC07,Cocktail-V1,Blood,7.14E+06
M8,øEnC07,Cocktail-V1,Blood,2.14E+05
M9,øEnC07,Cocktail-V1,Blood,14.28571429
M10,øEnC07,Cocktail-V1,Blood,3.23E+06
M11,øEnC07,Cocktail-V1,Blood,3.21E+05
M12,øEnC07,Cocktail-V1,Blood,4.64E+06
M13,øEnC07,Entelli-02,Blood,3.57E+04
M14,øEnC07,Entelli-02,Blood,5.00E+06
M15,øEnC07,Entelli-02,Blood,3.57E+05
M16,øEnC07,Entelli-02,Blood,5.36E+05
M17,øEnC07,Entelli-02,Blood,1.07E+06
M18,øEnC07,Entelli-02,Blood,2.50E+06
M7,øEnC07,Cocktail-V1,Liver,1.19E+06
M8,øEnC07,Cocktail-V1,Liver,3.46E+05
M9,øEnC07,Cocktail-V1,Liver,0.00E+00
M10,øEnC07,Cocktail-V1,Liver,3.46E+06
M11,øEnC07,Cocktail-V1,Liver,1.05E+06
M12,øEnC07,Cocktail-V1,Liver,6.80E+05
M13,øEnC07,Entelli-02,Liver,3.57E+06
M14,øEnC07,Entelli-02,Liver,2.83E+06
M15,øEnC07,Entelli-02,Liver,4.61E+05
M16,øEnC07,Entelli-02,Liver,4.12E+05
M17,øEnC07,Entelli-02,Liver,5.58E+06
M18,øEnC07,Entelli-02,Liver,7.81E+05
M7,øEnC07,Cocktail-V1,Kidney,2857142.857
M8,øEnC07,Cocktail-V1,Kidney,214285.7143
M9,øEnC07,Cocktail-V1,Kidney,0
M10,øEnC07,Cocktail-V1,Kidney,680272.1088
M11,øEnC07,Cocktail-V1,Kidney,420168.0672
M12,øEnC07,Cocktail-V1,Kidney,309523.8095
M13,øEnC07,Entelli-02,Kidney,1071428.571
M14,øEnC07,Entelli-02,Kidney,2976190.476
M15,øEnC07,Entelli-02,Kidney,1587301.587
M16,øEnC07,Entelli-02,Kidney,630252.1008
M17,øEnC07,Entelli-02,Kidney,187969.9248
M18,øEnC07,Entelli-02,Kidney,1260504.202
M7,øEnC07,Cocktail-V1,Spleen,1071428.571
M8,øEnC07,Cocktail-V1,Spleen,571428.5714
M9,øEnC07,Cocktail-V1,Spleen,0
M10,øEnC07,Cocktail-V1,Spleen,10714285.71
M11,øEnC07,Cocktail-V1,Spleen,4761904.762
M12,øEnC07,Cocktail-V1,Spleen,6493506.494
M13,øEnC07,Entelli-02,Spleen,1948051.948
M14,øEnC07,Entelli-02,Spleen,1785714.286
M15,øEnC07,Entelli-02,Spleen,3896103.896
M16,øEnC07,Entelli-02,Spleen,14285714.29
M17,øEnC07,Entelli-02,Spleen,19480519.48
M18,øEnC07,Entelli-02,Spleen,1488095.238
M7,øEnA02,Cocktail-V1,Blood,42500000
M8,øEnA02,Cocktail-V1,Blood,10000000
M9,øEnA02,Cocktail-V1,Blood,70000
M10,øEnA02,Cocktail-V1,Blood,248000000
M11,øEnA02,Cocktail-V1,Blood,100000000
M12,øEnA02,Cocktail-V1,Blood,223000000
M13,øEnA02,Entelli-02,Blood,100000
M14,øEnA02,Entelli-02,Blood,12500000
M15,øEnA02,Entelli-02,Blood,425000
M16,øEnA02,Entelli-02,Blood,2500000
M17,øEnA02,Entelli-02,Blood,12500000
M18,øEnA02,Entelli-02,Blood,50000000
M7,øEnA02,Cocktail-V1,Liver,93750000
M8,øEnA02,Cocktail-V1,Liver,64516129.03
M9,øEnA02,Cocktail-V1,Liver,862068.9655
M10,øEnA02,Cocktail-V1,Liver,3225806.452
