Mice,Phage,Cocktail ,Sample,PFU
M7,øEnC07,Cocktail-V1,Blood,6071428.571
M8,øEnC07,Cocktail-V1,Blood,7142857.143
M9,øEnC07,Cocktail-V1,Blood,7142857.143
M10,øEnC07,Cocktail-V1,Blood,50000000
M11,øEnC07,Cocktail-V1,Blood,1428571.429
M12,øEnC07,Cocktail-V1,Blood,25000000
M13,øEnC07,Entelli-02,Blood,250000
M14,øEnC07,Entelli-02,Blood,250000
M15,øEnC07,Entelli-02,Blood,142857.1429
M16,øEnC07,Entelli-02,Blood,71428.57143
M17,øEnC07,Entelli-02,Blood,64285.71429
M18,øEnC07,Entelli-02,Blood,14285.71429
M7,øEnC07,Cocktail-V1,Liver,19345238.1
M8,øEnC07,Cocktail-V1,Liver,4761904.762
M9,øEnC07,Cocktail-V1,Liver,9523809.524
M10,øEnC07,Cocktail-V1,Liver,15625000
M11,øEnC07,Cocktail-V1,Liver,3361344.538
M12,øEnC07,Cocktail-V1,Liver,7936507.937
M13,øEnC07,Entelli-02,Liver,27472527.47
M14,øEnC07,Entelli-02,Liver,630252.1008
M15,øEnC07,Entelli-02,Liver,714285.7143
M16,øEnC07,Entelli-02,Liver,446428.5714
M17,øEnC07,Entelli-02,Liver,1339285.714
M18,øEnC07,Entelli-02,Liver,168067.2269
M7,øEnC07,Cocktail-V1,Kidney,1190476.19
M8,øEnC07,Cocktail-V1,Kidney,3690476.19
M9,øEnC07,Cocktail-V1,Kidney,2380952.381
M10,øEnC07,Cocktail-V1,Kidney,8928571.429
M11,øEnC07,Cocktail-V1,Kidney,3151260.504
M12,øEnC07,Cocktail-V1,Kidney,1587301.587
M13,øEnC07,Entelli-02,Kidney,206043.956
M14,øEnC07,Entelli-02,Kidney,63025.21008
M15,øEnC07,Entelli-02,Kidney,40000
M16,øEnC07,Entelli-02,Kidney,66964.28571
M17,øEnC07,Entelli-02,Kidney,178571.4286
M18,øEnC07,Entelli-02,Kidney,84033.61345
M7,øEnC07,Cocktail-V1,Spleen,4464285.714
M8,øEnC07,Cocktail-V1,Spleen,23809523.81
M9,øEnC07,Cocktail-V1,Spleen,3571428.571
M10,øEnC07,Cocktail-V1,Spleen,12276785.71
M11,øEnC07,Cocktail-V1,Spleen,8403361.345
M12,øEnC07,Cocktail-V1,Spleen,6349206.349
M13,øEnC07,Entelli-02,Spleen,5494505.495
M14,øEnC07,Entelli-02,Spleen,420168.0672
M15,øEnC07,Entelli-02,Spleen,571428.5714
M16,øEnC07,Entelli-02,Spleen,446428.5714
M17,øEnC07,Entelli-02,Spleen,223214.2857
M18,øEnC07,Entelli-02,Spleen,147058.8235
M7,øEnA02,Cocktail-V1,Blood,1250000
M8,øEnA02,Cocktail-V1,Blood,750000
M9,øEnA02,Cocktail-V1,Blood,100000
M10,øEnA02,Cocktail-V1,Blood,350000
M11,øEnA02,Cocktail-V1,Blood,62500
M12,øEnA02,Cocktail-V1,Blood,225000
M13,øEnA02,Entelli-02,Blood,100000
M14,øEnA02,Entelli-02,Blood,100000
M15,øEnA02,Entelli-02,Blood,110000
M16,øEnA02,Entelli-02,Blood,50000
M17,øEnA02,Entelli-02,Blood,250000
M18,øEnA02,Entelli-02,Blood,100000
M7,øEnA02,Cocktail-V1,Liver,2083333.333
M8,øEnA02,Cocktail-V1,Liver,1833333.333
M9,øEnA02,Cocktail-V1,Liver,666666.6667
M10,øEnA02,Cocktail-V1,Liver,2343750
M11,øEnA02,Cocktail-V1,Liver,147058.8235
M12,øEnA02,Cocktail-V1,Liver,833333.3333
M13,øEnA02,Entelli-02,Liver,1923076.923
M14,øEnA02,Entelli-02,Liver,441176.4706
M15,øEnA02,Entelli-02,Liver,700000
M16,øEnA02,Entelli-02,Liver,1250000
M17,øEnA02,Entelli-02,Liver,416666.6667
M18,øEnA02,Entelli-02,Liver,147058.8235
M7,øEnA02,Cocktail-V1,Kidney,104166.6667
M8,øEnA02,Cocktail-V1,Kidney,83333.33333
M9,øEnA02,Cocktail-V1,Kidney,33333.33333
