phage,stage,days,N,titre,sd,se,ci
øEnA02,35mL Vial,2023-03-01,3,146000000,202672149.04865444,117012819.8104806,503465528.57324624
øEnA02,35mL Vial,2023-05-30,6,33883333.333333336,9993881.461507669,4079985.0217589987,10487935.386601912
øEnA02,Packed product,2022-12-02,3,181666666.66666666,16072751.268321592,9279607.271383371,39926927.557220615
øEnC07,35mL Vial,2023-03-01,3,140000000,40000000,23094010.76758503,99365508.4700132
øEnC07,35mL Vial,2023-05-30,6,174833333.33333334,37107501.487794444,15149074.045777336,38941934.56878474
øEnC07,Packed product,2022-12-02,3,426666666.6666667,65064070.98647712,37564758.89861549,161628112.4175083
øEnC15,35mL Vial,2023-03-01,3,206666666.66666666,30550504.633038934,17638342.07376394,75891660.6719352
øEnC15,35mL Vial,2023-05-30,6,219000000,20238577.025077626,8262364.471909156,21239084.0308965
øEnC15,Packed product,2022-12-02,3,416666666.6666667,5773502.691896258,3333333.3333333335,14342175.76583154
øNando,35mL Vial,2023-03-01,3,380000000,70000000,40414518.8432738,173889639.8225231
øNando,35mL Vial,2023-05-30,6,230666666.66666666,18392027.258208018,7508513.686328193,19301248.894701913
øNando,Packed product,2022-12-02,3,1266666666.6666667,251661147.84235832,145296631.4513558,625160947.9375775
øTaquito,35mL Vial,2023-03-01,3,333333333.3333333,57735026.918962575,33333333.333333336,143421757.65831542
øTaquito,35mL Vial,2023-05-30,6,188666666.66666666,30936494.09139094,12629770.825755753,32465859.472937185
øTaquito,Packed product,2022-12-02,3,250000000,50000000,28867513.45948129,124206885.58751652
