Phage,Storage_Condition,date,N,PFU_per_mL,sd,se,ci
EnA02,37,2021-03-25,2,20300000000,0,0,0
EnA02,37,2021-04-01,2,21800000000,2121320343.5596426,1500000000,19059307104.26204
EnA02,37,2021-05-05,2,5300000000,1838477631.0850236,1300000000,16518066157.0271
EnA02,37,2021-08-11,2,13000000,0,0,0
EnA02,37,2021-11-25,2,0,0,0,0
EnA02,37,2022-03-18,2,0,0,0,0
EnA02,4C,2021-03-25,2,20300000000,0,0,0
EnA02,4C,2021-04-01,2,31600000000,4808326112.068523,3400000000,43201096102.99396
EnA02,4C,2021-05-05,2,19950000000,1343502884.2544403,950000000,12070894499.365957
EnA02,4C,2021-08-11,2,18750000000,353553390.59327376,249999999.99999997,3176551184.0436726
EnA02,4C,2021-11-25,2,17500000000,3535533905.932738,2500000000,31765511840.43673
EnA02,4C,2022-03-18,2,15000000000,1414213562.373095,999999999.9999999,12706204736.17469
EnA02,4C,2022-11-24,2,14500000000,2121320343.5596426,1500000000,19059307104.26204
EnA02,4C,2024-03-01,3,15333333333.333334,5033222956.847166,2905932629.027116,12503218958.75155
EnA02,RT,2021-03-25,2,20300000000,0,0,0
EnA02,RT,2021-04-01,2,18850000000,1626345596.7290592,1149999999.9999998,14612135446.600893
EnA02,RT,2021-05-05,2,9400000000,707106781.1865475,499999999.99999994,6353102368.087345
EnA02,RT,2021-08-11,2,12450000000,1343502884.2544403,950000000,12070894499.365957
EnA02,RT,2021-11-25,2,9550000000,2757716446.6275353,1949999999.9999998,24777099235.540646
EnA02,RT,2022-03-18,2,5450000000,3606244584.0513926,2550000000,32400822077.245464
EnA02,RT,2022-11-24,2,2650000000,919238815.5425118,650000000,8259033078.51355
EnA02,RT,2024-03-01,3,1466666666.6666667,503322295.68471664,290593262.9027116,1250321895.875155
EnC07,37,2021-03-25,2,50500000000,0,0,0
EnC07,37,2021-04-01,2,22800000000,1697056274.847714,1199999999.9999998,15247445683.409628
EnC07,37,2021-05-05,2,6850000000,919238815.5425118,650000000,8259033078.51355
EnC07,37,2021-08-11,2,1500000,707106.7811865475,499999.99999999994,6353102.368087346
EnC07,37,2021-11-25,2,0,0,0,0
EnC07,37,2022-03-18,2,0,0,0,0
EnC07,4C,2021-03-25,2,50500000000,0,0,0
EnC07,4C,2021-04-01,2,22500000000,14849242404.917498,10499999999.999998,133415149729.83424
EnC07,4C,2021-05-05,2,28100000000,141421356.23730952,100000000,1270620473.6174693
EnC07,4C,2021-08-11,2,17950000000,5586143571.373726,3950000000,50189508707.89004
EnC07,4C,2021-11-25,2,15500000000,6363961030.678927,4499999999.999999,57177921312.7861
EnC07,4C,2022-03-18,2,24650000000,9404520189.781082,6650000000,84496261495.5617
EnC07,4C,2022-11-24,2,12900000000,3394112549.695428,2399999999.9999995,30494891366.819256
EnC07,4C,2024-03-01,3,18333333333.333332,7637626158.259733,4409585518.440985,18972915167.9838
EnC07,RT,2021-03-25,2,50500000000,0,0,0
EnC07,RT,2021-04-01,2,26850000000,1202081528.0171309,850000000,10800274025.74849
EnC07,RT,2021-05-05,2,24400000000,7919595949.289332,5600000000,71154746522.57828
EnC07,RT,2021-08-11,2,15450000000,2192031021.6782975,1550000000,19694617341.070774
EnC07,RT,2021-11-25,2,5850000000,3040559159.1021543,2150000000,27318340182.77559
EnC07,RT,2022-03-18,2,6800000000,6222539674.441618,4399999999.999999,55907300839.16863
EnC07,RT,2022-11-24,2,1750000000,1767766952.966369,1250000000,15882755920.218365
EnC07,RT,2024-03-01,3,27333333.333333332,10503967.504392486,6064468.466220084,26093301.800661374
EnC15,37,2021-03-25,2,34600000000,0,0,0
EnC15,37,2021-04-01,2,29100000000,141421356.23730952,100000000,1270620473.6174693
EnC15,37,2021-05-05,2,9700000000,3818376618.4073567,2700000000,34306752787.67167
EnC15,37,2021-08-11,2,2500000,2121320.343559643,1500000,19059307.10426204
EnC15,37,2021-11-25,2,0,0,0,0
EnC15,37,2022-03-18,2,0,0,0,0
EnC15,4C,2021-03-25,2,34600000000,0,0,0
EnC15,4C,2021-04-01,2,23000000000,8485281374.23857,6000000000,76237228417.04816
EnC15,4C,2021-05-05,2,24800000000,1131370849.8984761,800000000,10164963788.939754
EnC15,4C,2021-08-11,2,26500000000,6363961030.678927,4499999999.999999,57177921312.7861
EnC15,4C,2021-11-25,2,12500000000,2121320343.5596426,1500000000,19059307104.26204
EnC15,4C,2022-03-18,2,14500000000,4949747468.305833,3500000000,44471716576.61142
EnC15,4C,2022-11-24,2,23000000000,9899494936.611666,7000000000,88943433153.22284
EnC15,4C,2024-03-01,3,15000000000,5000000000,2886751345.948129,12420688558.751652
EnC15,RT,2021-03-25,2,34600000000,0,0,0
EnC15,RT,2021-04-01,2,32400000000,4666904755.831214,3300000000,41930475629.37649
EnC15,RT,2021-05-05,2,13100000000,2121320343.5596426,1500000000,19059307104.26204
EnC15,RT,2021-08-11,2,18200000000,707106781.1865475,499999999.99999994,6353102368.087345
EnC15,RT,2021-11-25,2,13950000000,1343502884.2544403,950000000,12070894499.365957
EnC15,RT,2022-03-18,2,5250000000,4313351365.23794,3049999999.9999995,38753924445.33281
EnC15,RT,2022-11-24,2,1650000000,494974746.8305833,350000000,4447171657.661142
EnC15,RT,2024-03-01,3,243333333.33333334,30550504.633038934,17638342.07376394,75891660.6719352
