phage,isolates,condition,varients,N,phage_score,sd,se,ci
EnA02,AH17D011,Ancestor,Ancestor,2,0.844792276,0.004592676928582908,0.0032475129999999792,0.04126356506138862
EnA02,AH17D011,Ev_A47,Evovlved,2,0.8717671155,0.005089182561594822,0.003598595500000023,0.04572449118567723
EnA02,AH17D011,Ev_B47,Evovlved,2,0.8437975424999999,0.013860782785244278,0.00980105349999999,0.12453419240120142
EnA02,AH18J015,Ancestor,Ancestor,2,0.8518040259999999,0.026801844508121276,0.01895176599999998,0.24080501890807426
EnA02,AH18J015,Ev_A47,Evovlved,2,0.9285985564999999,8.056668598822294e-4,5.696924999999964e-4,0.007238629541663155
EnA02,AH18J015,Ev_B47,Evovlved,2,0.7887200910000001,0.025566489363408693,0.018078238000000024,0.2297057932972936
EnA02,AH19B061,Ancestor,Ancestor,2,0.2319855885,8.492076670405775e-4,6.004805000000001e-4,0.007629828173080548
EnA02,AH19B061,Ev_A47,Evovlved,2,0.2944355485,0.008209005562440847,0.005804643500000012,0.0737549887315058
EnA02,AH19B061,Ev_B47,Evovlved,2,0.165532426,0.07105036090262827,0.050240191999999996,0.6383621655367259
EnA02,AH19K020,Ancestor,Ancestor,2,0.2565619225,0.08155908136424073,0.05767097949999999,0.7327792728627335
EnA02,AH19K020,Ev_A47,Evovlved,2,0.07707948249999999,0.02117399224325929,0.014972273500000001,0.19024077245700285
EnA02,AH19K020,Ev_B47,Evovlved,2,0.782624769,0.049876515030472704,0.03526802200000001,0.44812270817191335
EnA02,AH20F054,Ancestor,Ancestor,2,0.550018322,0.08757863401632747,0.06192744599999999,0.7868628076644024
EnA02,AH20F054,Ev_A47,Evovlved,2,0.33345547799999997,0.0025910839052138293,0.00183217300000002,0.02327996525009165
EnA02,AH20F054,Ev_B47,Evovlved,2,0.0071454745,0.019433129289103505,0.0137412975,0.17459973937568546
EnA02,APO16,Ancestor,Ancestor,2,0.107653791,0.009610177954448495,0.0067954219999999945,0.08634402320070562
EnA02,APO16,Ev_A47,Evovlved,2,0.34370529299999997,0.010115977091885501,0.007153076000000007,0.09088844814941761
EnA02,APO16,Ev_B47,Evovlved,2,0.1046137335,0.025542841591325433,0.018061516499999996,0.2294933264947973
EnA02,APO23,Ancestor,Ancestor,2,-0.0104870245,0.0017595977483233203,0.0012442234999999998,0.015809358528559848
